真实值_第1小时,预测值_第1小时,真实值_第2小时,预测值_第2小时,真实值_第3小时,预测值_第3小时
4.0,4.038601,4.0,4.099407,4.0,4.1663785
4.0,4.097555,4.0,4.1421556,4.1,4.1861696
4.0,3.9650996,4.1,3.9510856,4.2,3.9429853
4.1,3.9007587,4.2,3.8837993,4.0,3.8763266
4.2,4.0917363,4.0,4.0883937,4.2,4.1048274
4.0,4.096013,4.2,4.09922,4.2,4.108899
4.2,4.064495,4.2,4.078326,4.2,4.1125994
4.2,4.1141067,4.2,4.106288,4.3,4.108837
4.2,4.1731296,4.3,4.160237,4.3,4.1493273
4.3,4.2368526,4.3,4.238155,4.2,4.248966
4.3,4.241755,4.2,4.255058,4.1,4.2511463
4.2,4.240972,4.1,4.2464886,4.1,4.2422853
4.1,4.153317,4.1,4.164451,4.0,4.184348
4.1,4.154844,4.0,4.2119694,4.2,4.2691092
4.0,4.1173954,4.2,4.155393,4.1,4.176097
4.2,4.045778,4.1,4.039261,4.1,4.049078
4.1,4.133914,4.1,4.1733046,4.1,4.2090807
4.1,4.123372,4.1,4.159178,4.1,4.1860757
4.1,4.089164,4.1,4.085011,4.1,4.0915318
4.1,4.070984,4.1,4.0605845,4.1,4.0645638
4.1,4.0890284,4.1,4.067404,4.1,4.06256
4.1,4.0823994,4.1,4.052721,4.0,4.0403013
4.1,4.107236,4.0,4.0740967,4.1,4.0633597
4.0,4.052658,4.1,4.0259075,4.1,4.0167418
4.1,4.01644,4.1,4.046501,4.1,4.087341
4.1,4.0588145,4.1,4.0327644,4.0,4.0469975
4.1,4.108295,4.0,4.1194377,4.0,4.1400046
4.0,4.1088486,4.0,4.0894885,4.0,4.087595
4.0,4.0103416,4.0,3.9934974,4.0,4.004328
4.0,3.9353597,4.0,3.9228156,4.1,3.9250674
4.0,3.9545326,4.1,3.93871,4.2,3.9463706
4.1,3.9949148,4.2,3.9803345,4.2,3.990304
4.2,4.1262383,4.2,4.1536164,4.1,4.1958885
4.2,4.1265683,4.1,4.1030803,4.2,4.0907707
4.1,4.171282,4.2,4.143974,4.3,4.124305
4.2,4.098666,4.3,4.065365,4.2,4.052764
4.3,4.2604847,4.2,4.291339,4.2,4.347503
4.2,4.270229,4.2,4.352211,4.3,4.423087
4.2,4.258458,4.3,4.359291,4.4,4.4421434
4.3,4.201651,4.4,4.277133,4.4,4.312729
4.4,4.3412094,4.4,4.4375677,4.3,4.5090528
4.4,4.4510226,4.3,4.54894,4.3,4.641862
4.3,4.3942904,4.3,4.476004,4.3,4.5339584
4.3,4.2958407,4.3,4.3467484,4.3,4.386116
4.3,4.2613215,4.3,4.2548876,4.3,4.260357
4.3,4.274424,4.3,4.2643647,4.3,4.262317
4.3,4.262758,4.3,4.2358675,4.3,4.2190332
4.3,4.2475224,4.3,4.217393,4.4,4.1987815
4.3,4.2389865,4.4,4.206068,4.3,4.194264
4.4,4.3151956,4.3,4.386451,4.2,4.471784
4.3,4.2771974,4.2,4.3205304,4.3,4.343466
4.2,4.2127695,4.3,4.270036,4.3,4.2950077
4.3,4.1754203,4.3,4.1857905,4.3,4.2065825
4.3,4.2015576,4.3,4.2006054,4.3,4.211347
4.3,4.2096,4.3,4.214731,4.3,4.2308025
4.3,4.2149806,4.3,4.1972814,4.2,4.191295
4.3,4.2303343,4.2,4.202511,4.3,4.1863155
4.2,4.2451267,4.3,4.212103,4.2,4.188503
4.3,4.2019386,4.2,4.1647973,4.2,4.144167
4.2,4.2349944,4.2,4.2005672,4.2,4.1717863
4.2,4.1955566,4.2,4.149814,4.1,4.1219926
4.2,4.156009,4.1,4.140003,4.2,4.138288
4.1,4.220011,4.2,4.2831526,4.2,4.3549123
4.2,4.140392,4.2,4.1907983,4.2,4.216674
4.2,4.205772,4.2,4.291081,4.2,4.342522
